 trial position no.            7
 
 
 
 
 
 
 
 
 
 
 
 
  -0.173911E+15   0.553959E+13  -0.465376E+12   0.271750E+15   0.777017E+14  -0.178842E+15
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.325316E+15  -0.919830E+13  -0.992855E+12  -0.183712E+15  -0.206420E+14   0.149914E+15
  -0.919830E+13   0.237897E+15  -0.112658E+15   0.637211E+13   0.154735E+13  -0.694418E+13
  -0.992854E+12  -0.112658E+15   0.154976E+15  -0.235371E+11  -0.889402E+12   0.507772E+12
  -0.183712E+15   0.637211E+13  -0.235368E+11   0.268612E+15   0.632211E+14  -0.204706E+15
  -0.206420E+14   0.154735E+13  -0.889402E+12   0.632211E+14   0.145538E+15  -0.114010E+15
   0.149914E+15  -0.694418E+13   0.507772E+12  -0.204706E+15  -0.114010E+15   0.455762E+15
 trial position no.           13
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.344269E+15  -0.104292E+14  -0.214745E+13  -0.193771E+15  -0.211829E+14   0.159319E+15
  -0.104292E+14   0.219771E+15  -0.104465E+15   0.714365E+13   0.107790E+13  -0.760098E+13
  -0.214745E+13  -0.104465E+15   0.142771E+15   0.363399E+12  -0.806373E+12   0.227445E+12
  -0.193771E+15   0.714365E+13   0.363399E+12   0.269457E+15   0.518572E+14  -0.226973E+15
  -0.211829E+14   0.107790E+13  -0.806373E+12   0.518572E+14   0.139918E+15  -0.130733E+15
   0.159319E+15  -0.760098E+13   0.227445E+12  -0.226973E+15  -0.130733E+15   0.532720E+15
 trial position no.           14
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.364280E+15  -0.115570E+14  -0.320356E+13  -0.204417E+15  -0.217254E+14   0.169140E+15
  -0.115570E+14   0.204746E+15  -0.974038E+14   0.785354E+13   0.644937E+12  -0.809361E+13
  -0.320356E+13  -0.974038E+14   0.132855E+15   0.692036E+12  -0.754126E+12   0.416316E+11
  -0.204417E+15   0.785354E+13   0.692035E+12   0.273701E+15   0.427160E+14  -0.247356E+15
  -0.217253E+14   0.644936E+12  -0.754126E+12   0.427160E+14   0.137201E+15  -0.145234E+15
   0.169140E+15  -0.809360E+13   0.416324E+11  -0.247356E+15  -0.145234E+15   0.611519E+15
 trial position no.           15
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.383160E+15  -0.139142E+14  -0.464977E+13  -0.215617E+15  -0.233397E+14   0.175473E+15
  -0.139142E+14   0.229727E+15  -0.109820E+15   0.952918E+13   0.196414E+12  -0.937256E+13
  -0.464977E+13  -0.109820E+15   0.148519E+15   0.107545E+13  -0.689277E+12  -0.799294E+11
  -0.215617E+15   0.952918E+13   0.107545E+13   0.279799E+15   0.346829E+14  -0.257824E+15
  -0.233397E+14   0.196414E+12  -0.689277E+12   0.346829E+14   0.135197E+15  -0.151881E+15
   0.175473E+15  -0.937256E+13  -0.799286E+11  -0.257824E+15  -0.151881E+15   0.726162E+15
 trial position no.           16
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.402919E+15  -0.152525E+14  -0.577051E+13  -0.226226E+15  -0.238732E+14   0.184846E+15
  -0.152525E+14   0.220803E+15  -0.105755E+15   0.105152E+14  -0.303756E+12  -0.987780E+13
  -0.577052E+13  -0.105755E+15   0.142460E+15   0.135367E+13  -0.587056E+12  -0.118330E+12
  -0.226226E+15   0.105152E+14   0.135367E+13   0.285736E+15   0.259960E+14  -0.274833E+15
  -0.238732E+14  -0.303755E+12  -0.587057E+12   0.259961E+14   0.133900E+15  -0.163149E+15
   0.184846E+15  -0.987780E+13  -0.118330E+12  -0.274833E+15  -0.163149E+15   0.819829E+15
 trial position no.            7
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.787208E+14  -0.160186E+14  -0.389928E+13  -0.347363E+14  -0.114283E+13   0.119365E+14
  -0.160186E+14   0.397231E+15  -0.121024E+15   0.764713E+13   0.215467E+14   0.103316E+14
  -0.389928E+13  -0.121024E+15   0.425249E+15  -0.128341E+14   0.653190E+13  -0.288397E+12
  -0.347363E+14   0.764713E+13  -0.128341E+14   0.376987E+15   0.155739E+15   0.142383E+15
  -0.114283E+13   0.215467E+14   0.653190E+13   0.155739E+15   0.415252E+15   0.167129E+15
   0.119365E+14   0.103316E+14  -0.288397E+12   0.142383E+15   0.167129E+15   0.344861E+15
 trial position no.            8
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.833278E+14  -0.160388E+14  -0.323246E+13  -0.369095E+14   0.297665E+12   0.153246E+14
  -0.160388E+14   0.319767E+15  -0.997172E+14   0.556933E+13   0.169571E+14   0.546432E+13
  -0.323246E+13  -0.997172E+14   0.338845E+15  -0.137917E+14   0.796944E+13   0.943507E+12
  -0.369095E+14   0.556933E+13  -0.137917E+14   0.334594E+15   0.929910E+14   0.537203E+14
   0.297664E+12   0.169571E+14   0.796944E+13   0.929910E+14   0.373943E+15   0.698201E+14
   0.153246E+14   0.546432E+13   0.943507E+12   0.537203E+14   0.698201E+14   0.297362E+15
 trial position no.            9
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.882380E+14  -0.160014E+14  -0.303660E+13  -0.389896E+14   0.180309E+13   0.185759E+14
  -0.160014E+14   0.267364E+15  -0.850347E+14   0.517827E+13   0.151997E+14   0.272862E+13
  -0.303660E+13  -0.850347E+14   0.282231E+15  -0.138431E+14   0.895846E+13   0.190690E+13
  -0.389896E+14   0.517827E+13  -0.138431E+14   0.310020E+15   0.471092E+14  -0.337350E+13
   0.180309E+13   0.151997E+14   0.895846E+13   0.471092E+14   0.348210E+15   0.336517E+13
   0.185759E+14   0.272862E+13   0.190690E+13  -0.337350E+13   0.336517E+13   0.302738E+15
 trial position no.           10
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.933420E+14  -0.172243E+14  -0.311535E+13  -0.415297E+14   0.307921E+13   0.211258E+14
  -0.172243E+14   0.258861E+15  -0.839584E+14   0.557063E+13   0.151341E+14   0.160899E+13
  -0.311535E+13  -0.839584E+14   0.272540E+15  -0.148560E+14   0.106056E+14   0.279258E+13
  -0.415297E+14   0.557063E+13  -0.148560E+14   0.301305E+15   0.174845E+14  -0.304647E+14
   0.307921E+13   0.151341E+14   0.106056E+14   0.174845E+14   0.340026E+15  -0.324646E+14
   0.211258E+14   0.160899E+13   0.279259E+13  -0.304647E+14  -0.324646E+14   0.357308E+15
 trial position no.           11
 
 
 
 
 
 
 
 
 
 
 
 
